Table_One_Id,EmployeeId,Organization,Plot,Admitting,Team_Members,Category_Of_work,Employee_Preparedness,An_Object,Finish_Work_Date ,Subdivision,Work_Manager,Observer,Open_Single_Line_Diagram,Is_Entrusted,Start_Work,Names_Electrical_Installations,Separate_Instractions,Signature,Be_Disconnected,Outfit_Issued,Surname
1,1,JPMorgan Chase,№1,Wick,"Abedin,Huma M.",work with complete voltage relief,5/17/2016 20:04:18,Low-rise apartment building;,5/18/2016 5:29:14,technical department,NATHANIEL FORD,"Adinolfi, Wilson  K",Yes,NATHANIEL FORD,5/17/2016 20:04:18,,,"Abedin,Huma M.",,"Adinolfi, Wilson  K",Wick
2,2,General Electric,№2,Constantine,"Abrams,Lori E.",work with partial voltage relief,5/17/2016 20:04:30,Residential building of a blocked development;,5/18/2016 5:41:19,repair and construction team,GARY JIMENEZ,"Ait Sidi, Karthikeyan   ",No,GARY JIMENEZ,5/17/2016 20:04:30,,,"Abrams,Lori E.",,"Ait Sidi, Karthikeyan   ",Constantine
3,3,ExxonMobil,№3,Anderson,"Alcorn,Brian A.",work on current-carrying parts,5/17/2016 20:04:58,Mid-rise apartment building;,5/18/2016 5:42:39,technical department,ALBERT PARDINI,"Akinkuolie, Sarah",Yes,ALBERT PARDINI,5/17/2016 20:04:58,,,"Alcorn,Brian A.",,"Akinkuolie, Sarah",Anderson
4,4,Berkshire Hathaway,№4,Telles,"Allen,Jeannetta Pam",work away from current-carrying parts,5/17/2016 20:08:01,Multi-storey apartment building.,5/18/2016 5:45:48,repair and construction team,CHRISTOPHER CHONG,"Alagbe,Trina",No,CHRISTOPHER CHONG,5/17/2016 20:08:01,,,"Allen,Jeannetta Pam",,"Alagbe,Trina",Telles
5,5,Citigroup,№5,Maradona,"Allison,Donna Tate",work with complete voltage relief,5/17/2016 20:08:04,Low-rise apartment building;,5/18/2016 5:47:41,technical department,PATRICK GARDNER,"Anderson, Carol ",Yes,PATRICK GARDNER,5/17/2016 20:08:04,,,"Allison,Donna Tate",,"Anderson, Carol ",Maradona
6,6,Wells Fargo,№6,Ronaldo,"Alston,Mildred C.",work with partial voltage relief,5/17/2016 20:09:09,Residential building of a blocked development;,5/18/2016 5:49:21,repair and construction team,DAVID SULLIVAN,"Anderson, Linda  ",No,DAVID SULLIVAN,5/17/2016 20:09:09,,,"Alston,Mildred C.",,"Anderson, Linda  ",Ronaldo
7,7,AT&T,№7,Tal,"Alterescu,Louis",work on current-carrying parts,5/17/2016 20:10:56,Mid-rise apartment building;,5/18/2016 5:49:42,technical department,ALSON LEE,"Andreola, Colby",Yes,ALSON LEE,5/17/2016 20:10:56,,,"Alterescu,Louis",,"Andreola, Colby",Tal
8,8,Chevron,№8,Bates,"Amador,Patricia",work away from current-carrying parts,5/17/2016 20:11:13,Multi-storey apartment building.,5/18/2016 5:50:59,repair and construction team,DAVID KUSHNER,"Athwal, Sam",No,DAVID KUSHNER,5/17/2016 20:11:13,,,"Amador,Patricia",,"Athwal, Sam",Bates
9,9,Walmart,№9,Kidman,"Amorsingh,Lucius Linus",work with complete voltage relief,5/17/2016 20:11:52,Low-rise apartment building;,5/18/2016 5:52:27,technical department,MICHAEL MORRIS,"Bachiochi, Linda",Yes,MICHAEL MORRIS,5/17/2016 20:11:52,,,"Amorsingh,Lucius Linus",,"Bachiochi, Linda",Kidman
10,10,ConocoPhillips,№10,Milland,"Anders,Brenda",work with partial voltage relief,5/17/2016 20:13:37,Residential building of a blocked development;,5/18/2016 6:03:51,repair and construction team,JOANNE HAYES-WHITE,"Bacong, Alejandro ",No,JOANNE HAYES-WHITE,5/17/2016 20:13:37,,,"Anders,Brenda",,"Bacong, Alejandro ",Milland
11,11,American International Group,№11,March,"Anderson,Lori Lynn",work on current-carrying parts,5/17/2016 20:17:40,Mid-rise apartment building;,5/18/2016 6:21:19,technical department,ARTHUR KENNEY,"Baczenski, Rachael  ",Yes,ARTHUR KENNEY,5/17/2016 20:17:40,,,"Anderson,Lori Lynn",,"Baczenski, Rachael  ",March
12,12,IBM,№12,Brynner,"Attie,Eli G.",work away from current-carrying parts,5/17/2016 20:18:37,Multi-storey apartment building.,5/18/2016 6:23:18,repair and construction team,PATRICIA JACKSON,"Barbara, Thomas",No,PATRICIA JACKSON,5/17/2016 20:18:37,,,"Attie,Eli G.",,"Barbara, Thomas",Brynner
13,13,Procter&Gamble,№13,Crawford,"Aversano,Gene T.",work with complete voltage relief,5/17/2016 20:26:57,Low-rise apartment building;,5/18/2016 6:38:46,technical department,EDWARD HARRINGTON,"Barbossa, Hector",Yes,EDWARD HARRINGTON,5/17/2016 20:26:57,,,"Aversano,Gene T.",,"Barbossa, Hector",Crawford
14,14,Pfizer,№14,Wyman,"Bachman,Robin J.",work with complete voltage relief,5/17/2016 20:30:21,Residential building of a blocked development;,5/18/2016 6:40:35,repair and construction team,JOHN MARTIN,"Barone, Francesco  A",No,JOHN MARTIN,5/17/2016 20:30:21,,,"Bachman,Robin J.",,"Barone, Francesco  A",Wyman
15,15,Goldman Sachs,№15,Magnani,"Baer,Christine Klima",work with partial voltage relief,5/17/2016 20:30:26,Mid-rise apartment building;,5/18/2016 6:41:08,technical department,DAVID FRANKLIN,"Barton, Nader",Yes,DAVID FRANKLIN,5/17/2016 20:30:26,,,"Baer,Christine Klima",,"Barton, Nader",Magnani
16,16,Hewlett-Packard,№16,Hepburn,"Baer,Donald A.",work on current-carrying parts,5/17/2016 20:30:49,Multi-storey apartment building.,5/18/2016 6:53:02,repair and construction team,RICHARD CORRIEA,"Bates, Norman",No,RICHARD CORRIEA,5/17/2016 20:30:49,,,"Baer,Donald A.",,"Bates, Norman",Hepburn
17,17,Apple,№17,Hepburn,"Bailey,Yvonne G.",work away from current-carrying parts,5/17/2016 20:32:26,Low-rise apartment building;,5/18/2016 6:55:07,technical department,AMY HART,"Beak, Kimberly  ",Yes,AMY HART,5/17/2016 20:32:26,,,"Bailey,Yvonne G.",,"Beak, Kimberly  ",Hepburn
18,18,Microsoft,№18,Streisand,"Baker,Kyle M.",work with complete voltage relief,5/17/2016 20:34:35,Residential building of a blocked development;,5/18/2016 7:02:48,repair and construction team,SEBASTIAN WONG,"Beatrice, Courtney ",No,SEBASTIAN WONG,5/17/2016 20:34:35,,,"Baker,Kyle M.",,"Beatrice, Courtney ",Streisand
19,19,Ford,№19,Smith,"Balderston,Kris M.",work with partial voltage relief,5/17/2016 20:39:14,Mid-rise apartment building;,5/18/2016 7:04:09,technical department,MARTY ROSS,"Becker, Renee",Yes,MARTY ROSS,5/17/2016 20:39:14,,,"Balderston,Kris M.",,"Becker, Renee",Smith
20,20,Johnson&Johnson,№20,Jackson,"Baldick,Nicholas R.",work on current-carrying parts,5/17/2016 20:40:22,Multi-storey apartment building.,5/18/2016 7:10:02,repair and construction team,ELLEN MOFFATT,"Becker, Scott",No,ELLEN MOFFATT,5/17/2016 20:40:22,,,"Baldick,Nicholas R.",,"Becker, Scott",Jackson
21,21,General Motors,№21,Fonda,"Band,Douglas J.",work away from current-carrying parts,5/17/2016 20:41:29,Low-rise apartment building;,5/18/2016 7:12:21,technical department,VENUS AZAR,"Bernstein, Sean",Yes,VENUS AZAR,5/17/2016 20:41:29,,,"Band,Douglas J.",,"Bernstein, Sean",Fonda
22,22,Verizon Communications,№22,Schell,"Barclay,Barbara A.",work with complete voltage relief,5/17/2016 20:42:09,Residential building of a blocked development;,5/18/2016 7:13:43,repair and construction team,JUDY MELINEK,"Biden, Lowan  M",No,JUDY MELINEK,5/17/2016 20:42:09,,,"Barclay,Barbara A.",,"Biden, Lowan  M",Schell
23,23,Morgan Stanley,№23,Peck,"Barksdale,Antoinette",work with partial voltage relief,5/17/2016 20:42:10,Mid-rise apartment building;,5/18/2016 7:19:47,technical department,GEORGE GARCIA,"Billis, Helen",Yes,GEORGE GARCIA,5/17/2016 20:42:10,,,"Barksdale,Antoinette",,"Billis, Helen",Peck
24,24,MetLife,№24,Poitier,"Barnes,Beverly L.",work on current-carrying parts,5/17/2016 20:44:36,Multi-storey apartment building.,5/18/2016 7:27:20,repair and construction team,VICTOR WYRSCH,"Blount, Dianna",No,VICTOR WYRSCH,5/17/2016 20:44:36,,,"Barnes,Beverly L.",,"Blount, Dianna",Poitier
