Table_four_id,place_work,number,hazards_risks_id,date,company,job_task,members_group,stages_of work,Possible_potential_accidents,control_measures,are_there_control_measures
1,4510 S MICHIGAN AVENUE EFT,77041,1,7/5/2011,CHICAGO URBAN LEAGUE DEV CORP,,"Adinolfi, Wilson  K",,,,yes
2,4150 S KING DRIVE EFT,106913,2,3/30/2015,CENTERS FOR NEW HORIZONS 01,,"Ait Sidi, Karthikeyan   ",,,,no
3,DEPT CH 0075,117383,3,7/5/2011,MSC INDUSTRIAL SUPPLY CO,,"Akinkuolie, Sarah",,,,yes
4,30 N LA SALLE ST STE 1420,30418,4,1/7/2008,30 NORTH. LASALLE PARTNERS LLC,,"Alagbe,Trina",,,,no
5,205 W RANDOLPH ST STE 1700,117399,5,7/11/2011,URBAN GATEWAYS,,"Anderson, Carol ",,,,yes
6,DEPT CH 0075,117386,6,1/9/2012,MSC INDUSTRIAL SUPPLY CO,,"Anderson, Linda  ",,,,no
7,DEPT CH 0075,117384,7,11/10/2014,MSC INDUSTRIAL SUPPLY CO,,"Andreola, Colby",,,,yes
8,DEPT CH 0075,117389,8,9/30/2013,MSC INDUSTRIAL SUPPLY CO,,"Athwal, Sam",,,,no
9,180 N WABASH AVE,117376,9,7/6/2009,YWCA OF METRO CHICAGO 6831834,,"Bachiochi, Linda",,,,yes
10,10150 VIRGINIA AVE UNIT J,21757,10,1/5/2015,4150 PARTNERSHIP,,"Bacong, Alejandro ",,,,yes
11,1339 S WOOD ST,116686,11,1/10/2011,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,,"Baczenski, Rachael  ",,,,no
12,DEPT CH 0075,117387,12,4/2/2012,MSC INDUSTRIAL SUPPLY CO,,"Barbara, Thomas",,,,yes
13,4150 S KING DRIVE EFT,106909,13,11/10/2014,CENTERS FOR NEW HORIZONS 01,,"Barbossa, Hector",,,,no
14,3059 W AUGUSTA BLVD,113892,14,2/20/2012,CHILDREN'S PLACE ASSOCIATION,,"Barone, Francesco  A",,,,yes
15,PO BOX 1748,107132,15,9/24/2012,CARING AMBASSADORS PROGRAM INC,,"Barton, Nader",,,,no
16,8811 S STONY ISLAND AVE,85524,16,2/21/2011,FAMILY RESCUE,,"Bates, Norman",,,,yes
17,309 HARRISON STREET EFT,85535,17,7/21/2016,SARAH'S INN,,"Beak, Kimberly  ",,,,no
18,1701 W SUPERIOR ST 3 TH FL  EFT,107134,18,4/4/2011,ERIE FAMILY HEALTH CENTER|CLEANED-UP,,"Beatrice, Courtney ",,,,yes
19,4300 N CALIFORNIA AVENUE EFT,85537,19,7/7/2014,"KOREAN AMERICAN COMMUNITY SERVICES, INC.",,"Becker, Renee",,,,yes
20,1350 W 103RD ST,85551,20,7/8/2013,UNIVERSAL FAMILY CONNECTION INC,,"Becker, Scott",,,,no
21,2755 W ARMITAGE AVE,85525,21,4/2/2012,"HEALTH CARE ALTERNATIVE SYSTEMS, INC",,"Bernstein, Sean",,,,yes
22,1339 S WOOD ST,102881,22,8/19/2013,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,,"Biden, Lowan  M",,,,no
23,208 S LASALLE STREET EFT  6026,85526,23,7/7/2014,"HEARTLAND HUMAN CARE SERVICES, INC.",,"Billis, Helen",,,,yes
24,HLTH/ SCHOOL OF PUBLIC HLTH,107133,24,4/4/2011,BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,,"Blount, Dianna",,,,no
25,PO BOX 477916,85520,25,1/10/2011,CONNECTIONS FOR ABUSED WOMEN & THEIR CHILDREN,,"Bondwell, Betsy",,,,yes
26,451 N LASALLE STREET EFT,97323,26,2/17/2014,ERIKSON INSTITUTE,,"Booth, Frank",,,,no
27,6054 S DREXEL AVE,115945,27,2/16/2015,UNIVERSITY OF CHICAGO 03,,"Boutwell, Bonalyn",,,,yes
28,200 W JACKSON BLVD # 2200,116593,28,9/30/2013,AIDS FOUNDATION OF CHICAGO|CLEANED-UP,,"Bozzi, Charles",,,,yes
29,LOCKBOX #4987,30932,29,4/2/2012,LAERDAL MEDICAL CORPORATION,,"Brill, Donna",,,,no
30,69 WEST WASHINGTON STREET,117088,30,10/27/2008,COOK COUNTY HOMELAND SECURITY & EMERGENCY MANAGEMENT (CCHSEM),,"Brown, Mia",,,,yes
31,2255 E 75TH STREET EFT ST,117076,31,9/29/2014,FEATHERFIST,,"Buccheri, Joseph  ",,,,no
32,1455 N SEDGWICK ST,14731,32,11/11/2013,UNIVERSAL SECURITY INC,,"Bugali, Josephine ",,,,yes
33,5504 W FULLERTON AVE,97027,33,8/15/2011,GALEWOOD ENTERPRISES LIMITED,,"Bunbury, Jessica",,,,no
34,6700 W 26TH ST,117086,34,3/5/2012,CITY OF BERWYN POLICE DEPARTMENT,,"Burke, Joelle",,,,yes
35,1817 S CALIFORNIA AVE,117059,35,4/4/2011,"FREE SPIRIT MEDIA, NFP",,"Burkett, Benjamin ",,,,no
36,7900 W DIVISION STREET EFT,117025,36,8/15/2011,DOMINICAN UNIVERSITY,,"Cady, Max ",,,,yes
37,3435 N SHEFFIELD AVE FL 2ND,117044,37,1/28/2016,LINKS HALL STUDIO,,"Candie, Calvin",,,,yes
38,1100 BRANDT DR,66065,38,11/11/2013,"PLOTE CONSTRUCTION, INC / K-FIVE CONSTRUCTION CORP. JOINT VENTURE",,"Carabbio, Judith",,,,no
39,1420 BREWSTER CREEK BLVD,25047,39,3/31/2014,AUTO TRUCK GROUP|CLEANED-UP,,"Carey, Michael  ",,,,yes
40,DEPT CH 10320 (EFT),26994,40,6/30/2016,JOHNSON CONTROLS FIRE PROTECTION LP,,"Carr, Claudia  N",,,,no
41,2418 W BLOOMINGDALE AVE,117045,41,8/18/2014,COMMUNITY TELEVISION NETWORK,,"Carter, Michelle ",,,,yes
42,7200 S INGLESIDE AVE,102239,42,9/29/2014,"GARY COMER YOUTH CENTER, INC.",,"Chace, Beatrice ",,,,no
43,11 E ADAMS STREET EFT,102208,43,9/6/2016,"SGA YOUTH & FAMILY SERVICES, NFP|CLEANED-UP",,"Champaigne, Brian",,,,yes
44,1601 S HALSTED,117085,44,5/12/2014,CITY OF CHICAGO HEIGHTS,,"Chan, Lin",,,,no
45,15251 NATIONAL AVE STE 201,52081,45,7/8/2013,LAW ENFORCEMENT PSYCHOLOGICAL,,"Chang, Donovan  E",,,,yes
46,831 OAKTON STREET EFT,79411,46,5/14/2012,BROADWAY ELECTRIC INC,,"Chigurh, Anton",,,,yes
47,PO BOX 93308,116791,47,6/27/2011,STRYKER CORP,,"Chivukula, Enola",,,,no
48,402 N ST LOUIS AVENUE EFT,102204,48,10/3/2011,"BREAKTHROUGH URBAN MINISTRIES, INC.",,"Cierpiszewski, Caroline  ",,,,yes
49,FOR BOYS,101605,49,9/5/2012,LAWRENCE HALL SCHOOL FOR BOYS,,"Clayton, Rick",,,,no
50,1 N LASALLE STREET EFT,103391,50,5/16/2011,YOUTH GUIDANCE,,"Cloninger, Jennifer",,,,yes
51,119 E GARFIELD BOULEVARD EFT,102198,51,8/30/2010,K.L.E.O. COMMUNITY FAMILY LIFE CENTER|CLEANED-UP,,"Close, Phil",,,,no
52,125 S WACKER DR FL 14TH  EFT,102238,52,7/6/2016,CHILDREN'S HOME & AID SOCIETY OF ILLINOIS,,"Clukey, Elijian",,,,yes
53,7731 N MARSHFIELD AVENUE EFT,102202,53,7/8/2013,"FAMILY MATTERS, INC.",,"Cockel, James",,,,no
54,444 N MICHIGAN AVENUE EFT,31949,54,7/11/2011,"T & N CHICAGO, INC.",,"Cole, Spencer",,,,yes
55,157 W 144TH STREET EFT,117083,55,7/20/2010,VILLAGE OF RIVERDALE,,"Corleone, Michael",,,,yes
56,PO BOX 09123,28951,56,1/5/2009,"TRUCK TIRE SALES, INC.",,"Corleone, Vito",,,,no
57,1 E BANKS ST,101890,57,1/5/2015,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,,"Cornett, Lisa ",,,,yes
58,450 SUMAC ROAD EFT,33717,58,3/30/2015,SET ENVIRONMENTAL INC,,"Costello, Frank",,,,no
59,13031 S GREENWOOD AVE,117090,59,7/6/2016,CITY OF BLUE ISLAND,,"Crimmings,   Jean",,,,yes
60,14030 PARK AVE,117087,60,11/10/2014,VILLAGE OF DOLTON,,"Cross, Noah",,,,no
61,833 N ORLEANS ST # 100,117060,61,5/5/2014,"MARWEN FOUNDATION, INC.",,"Daneault, Lynn",,,,yes
62,6054 S DREXEL AVE,116681,62,11/10/2014,UNIVERSITY OF CHICAGO 03,,"Daniele, Ann  ",,,,no
63,3349 S KEDZIE AVENUE EFT,58485,63,7/2/2012,BENCHMARK CONSTRUCTION CO. INC|CLEANED-UP,,"Darson, Jene'ya ",,,,yes
64,6054 S DREXEL AVE,116680,64,11/7/2011,UNIVERSITY OF CHICAGO 03,,"Davis, Daniel",,,,yes
65,5515 N EAST RIVER ROAD EFT XX  2356,76224,65,7/9/2018,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",,"Dee, Randy",,,,no
66,400 W 76TH STREET EFT ST,101376,66,5/16/2011,"A KNOCK AT MIDNIGHT, NFP",,"DeGweck,  James",,,,yes
67,1100 WEST CERMAK ROAD,102245,67,1/9/2012,WESTCARE ILLINOIS INC,,"Del Bosque, Keyla",,,,no
68,53 W JACKSON BLVD # 1450,31948,68,9/29/2014,"CHICAGO UNITED INDUSTRIES, LIMITED",,"Delarge, Alex",,,,yes
69,125 S 5TH AVE,117084,69,4/4/2011,VILLAGE OF MAYWOOD,,"Demita, Carla",,,,no
70,1344 W 43RD STREET EFT ST,25044,70,7/7/2014,TRI-ANGLE FABRICATION & BODY,,"Desimone, Carl ",,,,yes
71,CCPD 1200 PULASKI RD (EFT),117089,71,2/15/2017,CITY OF CALUMET CITY,,"DeVito, Tommy",,,,no
72,C/O NEWPORT CAPITAL PARTNERS HOLDING LLC,59163,72,5/12/2014,TCB KEDZIE LLC,,"Dickinson, Geoff ",,,,yes
73,11 E ADAMS STREET EFT,101623,73,2/20/2012,"SGA YOUTH & FAMILY SERVICES, NFP|CLEANED-UP",,"Dietrich, Jenna  ",,,,yes
74,2215 SANDERS ROAD EFT XX  2398,62425,74,1/7/2013,KENNY CONSTRUCTION COMPANY,,"DiNocco, Lily ",,,,no
75,10801 S WESTERN AVE,99703,75,4/2/2012,"PREMIER HOME HEALTH CARE SERVICES, INC.",,"Dobrin, Denisa  S",,,,yes
76,1 E BANKS ST,116464,76,1/5/2015,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,,"Dolan, Linda",,,,no
77,4150 W WRIGHTWOOD AVE FL 1ST,54816,77,1/5/2014,"SUMIT CONSTRUCTION CO., INC.",,"Dougall, Eric",,,,yes
78,1524 N LAKE SHORE DR,116915,78,1/10/2011,INTERNATIONAL MUSEUM OF SURGICAL SCI.,,"Driver, Elle",,,,no
79,4150 S KING DRIVE EFT,100279,79,9/18/2014,CENTERS FOR NEW HORIZONS 01,,"Dunn, Amy  ",,,,yes
80,123 N WACKER DR # 2000,27953,80,4/26/2010,"D.B. STERLIN CONSULTANTS, INC.",,"Dunne, Amy",,,,no
81,6054 S DREXEL AVE,42448,81,4/4/2011,UNIVERSITY OF CHICAGO 03,,"Eaton, Marianne",,,,yes
82,DEPT CH 0075,116913,82,11/10/2014,MSC INDUSTRIAL SUPPLY CO,,"Engdahl, Jean",,,,yes
83,5515 N EAST RIVER ROAD EFT XX  2356,63738,83,3/31/2014,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",,"England, Rex",,,,no
84,2255 E 75TH STREET EFT ST,85349,84,7/7/2014,FEATHERFIST,,"Erilus, Angela",,,,yes
85,222 S RIVERSIDE PLZ,108406,85,4/2/2012,Together Chicago Inc,,"Estremera, Miguel",,,,no
86,HLTH/ SCHOOL OF PUBLIC HLTH,116743,86,2/17/2014,BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,,"Evensen, April",,,,yes
87,1711 PARAMOUNT CT,32529,87,5/2/2011,EMERGENCY MEDICAL PRODUCTS INC,,"Exantus, Susan",,,,no
88,5515 N EAST RIVER ROAD EFT XX  2356,90271,88,7/7/2014,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",,"Faller, Megan ",,,,yes
89,5515 N EAST RIVER ROAD EFT,74081,89,2/17/2014,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC",,"Fancett, Nicole",,,,no
90,222 S RIVERSIDE PLZ STE 2320,46147,90,11/7/2011,TRANSYSTEMS CORPORATION,,"Ferguson, Susan",,,,yes
91,2215 SANDERS RD # 400,84664,91,5/11/2015,KENNY CONSTRUCTION COMPANY,,"Fernandes, Nilson  ",,,,yes
92,4226 LAWNDALE AVE,101527,92,3/30/2015,"BLACK DOG PETROLEUM, LLC",,"Fett, Boba",,,,no
93,42 W MADISON ST,116911,93,1/9/2012,BOARD OF EDUCATION OF THE CITY OF CHICAGO,,"Fidelia,  Libby",,,,yes
94,6142 N CALIFORNIA AVE,14486,94,5/16/2011,RAVENSWOOD PARTNERS OF IL LP,,"Fitzpatrick, Michael  J",,,,no
95,935 W CHESTNUT ST STE 20,110193,95,4/4/2011,BIGANE PAVING COMPANY/O PLOTE CONSTRUCTION INC JV,,"Foreman, Tanya",,,,yes
96,6054 S DREXEL AVE,85040,96,9/29/2014,UNIVERSITY OF CHICAGO 03,,"Forrest, Alex",,,,no
97,5515 N EAST RIVER ROAD EFT XX  2356,31553,97,4/15/2011,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",,"Foss, Jason",,,,yes
98,5515 N EAST RIVER ROAD EFT XX  2356,76224,98,1/5/2009,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",,"Foster-Baker, Amy",,,,no
99,929 W ADAMS STREET EFT,94126,99,9/6/2011,"WALSH CONSTRUCTION COMPANY II, LLC.",,"Fraval, Maruk ",,,,yes
100,5515 N EAST RIVER ROAD EFT XX  2356,74081,100,5/1/2010,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",,"Galia, Lisa",,,,yes
101,5515 N EAST RIVER ROAD EFT,90271,101,3/30/2015,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC",,"Garcia, Raul",,,,no
102,3705 N 25TH AVE,31052,102,5/16/2011,SPIRAL BINDING CO INC,,"Gaul, Barbara",,,,yes
103,4150 W WRIGHTWOOD AVE FL 1ST,113703,103,3/30/2015,"SUMIT CONSTRUCTION CO., INC.",,"Gentry, Mildred",,,,no
104,PO BOX 75257,33454,104,11/7/2011,USALCO,,"Gerke, Melisa",,,,yes
105,PO BOX 382066,50477,105,7/7/2014,"SAFETY KLEEN SYSTEMS, INC.",,"Gill, Whitney  ",,,,no
106,4150 W WRIGHTWOOD AVE FL 1ST,77464,106,4/2/2012,"SUMIT CONSTRUCTION CO., INC.",,"Gilles, Alex",,,,yes
107,831 OAKTON STREET EFT,79411,107,9/29/2014,BROADWAY ELECTRIC INC,,"Girifalco, Evelyn",,,,no
108,33 W MONROE ST # 2400,95967,108,2/16/2015,OUNCE OF PREVENTION FUND,,"Givens, Myriam",,,,yes
109,1530 W MORSE AVENUE EFT,100974,109,2/16/2015,ROGERS PARK COMM DEV CORP,,"Goble, Taisha",,,,yes
110,2141 S TAN CT FL 2ND,96087,110,3/30/2015,"CHINESE AMERICAN SERVICE LEAGUE, INC.",,"Goeth, Amon",,,,no
